WORK DESCRIPTION,WORK GROUP
Addition,Other
Commercial,Commercial
Commercial Accessory Structure Demo,Commercial
Commercial Addition,Commercial
Commercial Alter,Commercial
Commercial Demo,Commercial
Commercial Modernization,Commercial
Commercial New,Commercial
Commercial Repair,Commercial
Commercial Repair/Alter,Commercial
Commercial Replace,Commercial
Existing Building - Alter Systems,Other
Existing Building - New Systems,Other
Express Repair,Other
New,Other
New Building,Other
Remodel,Other
Repair,Other
Residential,Residential
Residential Accessory Structure Demo,Residential
Residential Addition,Residential
Residential Alter,Residential
Residential Demo,Residential
Residential Garage Move,Residential
Residential Modernization,Residential
Residential Move,Residential
Residential Multi-Family New,Residential
Residential New,Residential
Residential Repair,Residential
Residential Repair/Alter,Residential
Residential Replace,Residential
Tank - Aboveground Inside,Tank
Tank - Aboveground Outside,Tank
Tank - Underground,Tank
Tank Abandonment,Tank
Tank Removal,Tank
Temporary Extension,Other
